sample,gene,cts,fly_generation
T_1.5625_C_1,WSP,21.142,3
T_1.5625_C_1,RPL32,26.309,3
T_1.5625_C_1,RPL32,26.297,3
T_1.5625_C_2,WSP,20.834,3
T_1.5625_C_2,WSP,21.315,3
T_1.5625_C_2,RPL32,27.002,3
T_1.5625_C_2,RPL32,27.269,3
T_1.5625_C_3,WSP,21.823,3
T_1.5625_C_3,WSP,21.9,3
T_1.5625_C_3,RPL32,26.508,3
T_1.5625_C_3,RPL32,26.673,3
T_1.5625_C_4,WSP,20.315,3
T_1.5625_C_4,WSP,20.414,3
T_1.5625_C_4,RPL32,26.073,3
T_1.5625_C_4,RPL32,25.956,3
T_3.125_A_1,WSP,23.809,3
T_3.125_A_1,WSP,23.96,3
T_3.125_A_1,RPL32,26.465,3
T_3.125_A_1,RPL32,26.749,3
T_3.125_A_2,WSP,20.958,3
T_3.125_A_2,WSP,21.2,3
